id,title,body,text
0,"Crash on startup","App crashes when opening after update","Crash on startup App crashes when opening after update"
1,"UI lag on settings page","The settings page takes long to load","UI lag on settings page The settings page takes long to load"
2,"Memory leak in parser","Parser consumes more RAM over time","Memory leak in parser Parser consumes more RAM over time"
3,"Login failure with Google OAuth","Login fails when using Google account","Login failure with Google OAuth Login fails when using Google account"
4,"Dark mode not applied","Dark mode theme not applied on restart","Dark mode not applied Dark mode theme not applied on restart"
5,"Crash when opening large file","App crashes when trying to open files >500MB","Crash when opening large file App crashes when trying to open files >500MB"
6,"Export to PDF fails","PDF export hangs and never completes","Export to PDF fails PDF export hangs and never completes"
7,"Search returns incomplete results","Search API omits some matching items","Search returns incomplete results Search API omits some matching items"
8,"Notifications not delivered","Push notifications are not received on Android","Notifications not delivered Push notifications are not received on Android"
9,"Settings not saved","Changes in preferences revert after restart","Settings not saved Changes in preferences revert after restart"
10,"Slow startup on Windows","Cold start takes over 30 seconds","Slow startup on Windows Cold start takes over 30 seconds"
11,"High CPU during idle","App uses high CPU even when idle","High CPU during idle App uses high CPU even when idle"
12,"File upload times out","Large uploads time out on unstable networks","File upload times out Large uploads time out on unstable networks"
13,"Incorrect localization strings","Some translations show placeholders instead of text","Incorrect localization strings Some translations show placeholders instead of text"
14,"Clipboard paste broken","Pasting content from clipboard inserts wrong formatting","Clipboard paste broken Pasting content from clipboard inserts wrong formatting"
15,"Undo stack lost after crash","Undo history cleared after unexpected shutdown","Undo stack lost after crash Undo history cleared after unexpected shutdown"
16,"Graph rendering glitch","Lines flicker on zoom level 3","Graph rendering glitch Lines flicker on zoom level 3"
17,"Auto-save not working","Documents are not auto-saved at intervals","Auto-save not working Documents are not auto-saved at intervals"
18,"Dark theme icons invisible","Some icons not visible in dark mode","Dark theme icons invisible Some icons not visible in dark mode"
19,"Permissions error on install","Installer fails with permission denied message","Permissions error on install Installer fails with permission denied message"
20,"Session expires too quickly","Users are logged out after short inactivity","Session expires too quickly Users are logged out after short inactivity"
21,"Audio not playing","Embedded audio stops after a few seconds","Audio not playing Embedded audio stops after a few seconds"
22,"Video playback stutters","Frame drops during fullscreen playback","Video playback stutters Frame drops during fullscreen playback"
23,"Password reset email not sent","Forgot password flow does not trigger email","Password reset email not sent Forgot password flow does not trigger email"
24,"Two-factor code rejected","2FA codes are reported as invalid intermittently","Two-factor code rejected 2FA codes are reported as invalid intermittently"
25,"Database migration fails","Schema migration errors on production","Database migration fails Schema migration errors on production"
26,"Search indexing broken","New items are not added to the search index","Search indexing broken New items are not added to the search index"
27,"Scrollbar missing","Scrollbar not visible on long content pages","Scrollbar missing Scrollbar not visible on long content pages"
28,"Context menu flicker","Right-click menu flashes when opened","Context menu flicker Right-click menu flashes when opened"
29,"Export CSV corrupt","Exported CSV contains wrong delimiters","Export CSV corrupt Exported CSV contains wrong delimiters"
30,"Import hangs on row 0","CSV import freezes on first row with empty fields","Import hangs on row 0 CSV import freezes on first row with empty fields"
31,"App freezes on logout","App UI becomes unresponsive when logging out","App freezes on logout App UI becomes unresponsive when logging out"
32,"Incorrect timezone handling","Events show wrong timezone after DST change","Incorrect timezone handling Events show wrong timezone after DST change"
33,"Thumbnail generation slow","Generating thumbnails for many images is very slow","Thumbnail generation slow Generating thumbnails for many images is very slow"
